unlocode,name,municipality,iso_country,lat,lon
EERJS,Ristna Jahisadam,Ristna Jahisadam,EE,58.91667,22.06667
EERLB,Rälby Sadam,Rälby Sadam,EE,59.03333,23.28333
EERLS,Ristna Lõunasadam,Ristna Lõunasadam,EE,58.91667,22.06667
EERMS,Roomassaare,Roomassaare,EE,58.21667,22.5
EERNG,Ringsu,Ringsu,EE,57.78333,23.26667
EERNM,Rannametsa,Rannametsa,EE,58.11667,24.48333
EERNV,Rohuneeme Väikesadam,Rohuneeme Väikesadam,EE,59.56667,24.8
EERON,Rohuneeme,Rohuneeme,EE,59.56667,24.8
EEROO,Roopa,Roopa,EE,58.26667,21.86667
EERPI,Räpina,Räpina,EE,58.13333,27.53333
EERST,Ristna,Ristna,EE,59.26667,23.73333
EERUV,Ruhve,Ruhve,EE,58.38333,23.03333
EERVS,Remniku Vanasadam,Remniku Vanasadam,EE,59.01667,27.55
EESAM,Salmistu,Salmistu,EE,59.5,25.36667
EESAS,Sassukvere,Sassukvere,EE,58.71667,27.13333
EESGS,Saaga Sadam,Saaga Sadam,EE,58.38333,26.98333
EESHL,Suur-Holmi,Suur-Holmi,EE,58.96667,23.53333
EESIG,Sigatsuaru Väikesadam,Sigatsuaru Väikesadam,EE,58.15,24
EESLE,Salme Jõesadam,Salme Jõesadam,EE,58.16667,22.25
EESLM,Sillamäe,Sillamäe,EE,59.41667,27.73333
EESLN,Salinõmme,Salinõmme,EE,58.83333,22.95
EESMA,Saaremaa sadam,Saaremaa sadam,EE,58.53333,22.23333
EESNK,Salinõmme Kalasadam,Salinõmme Kalasadam,EE,58.83333,22.95
EESNP,Salinõmme Paadisadam,Salinõmme Paadisadam,EE,58.98333,22.95
EESOE,Soela,Soela,EE,58.61667,22.6
EESRA,Saarepera,Saarepera,EE,57.7019051,26.7067939
EESRU,Sõru,Sõru,EE,58.7,22.53333
EESRV,Sõru Väikelaevasadam,Sõru Väikelaevasadam,EE,58.7,22.51667
EESSO,Soo,Soo,EE,57.6637508,26.8040138
EESUA,Suaru,Suaru,EE,58.13333,24.01667
EESUK,Suaru Kalasadam,Suaru Kalasadam,EE,58.13333,24
EESUL,Suur-Lootsi,Suur-Lootsi,EE,59.46667,28.05
